[20/01/2009 11:42:49] /t
[21/01/2009 12:33:00] /a 1
[21/01/2009 12:33:00] /a 1
[21/01/2009 12:33:00] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:01] /a 1
[21/01/2009 12:33:02] /a 1
[21/01/2009 12:33:02] /a 1
[21/01/2009 12:33:02] /a 1
[21/01/2009 12:33:02] /a 1
[21/01/2009 12:33:02] /a 1
[21/01/2009 12:33:02] /a 1
[21/01/2009 12:33:02] /a 1
[21/01/2009 12:33:02] /a 1
[21/01/2009 12:33:02] /a 1
[21/01/2009 12:33:02] /a 1
[21/01/2009 12:33:02] /a 1
[21/01/2009 12:33:02] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:03] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:04] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:05] /a 1
[21/01/2009 12:33:06] /a 1
[21/01/2009 12:33:07] /a 1
[21/01/2009 12:33:07] /a 1
[21/01/2009 12:33:07] /a 1
[21/01/2009 12:33:07] /a 1
[21/01/2009 12:33:07] /a 1
[21/01/2009 12:33:07] /a 1
[21/01/2009 12:33:07] /a 1
[21/01/2009 12:33:07] /a 1
[21/01/2009 12:33:07] /a 1
[21/01/2009 12:33:08] /a 1
[21/01/2009 12:33:08] /a 1
[21/01/2009 12:33:08] /a 1
[21/01/2009 12:33:08] /a 1
[21/01/2009 12:33:08] /a 1
[21/01/2009 12:33:08] /a 1
[21/01/2009 12:33:08] /a 1
[21/01/2009 12:33:08] /a 1
[21/01/2009 12:33:08] /a 1
[21/01/2009 12:33:08] /a 1
[21/01/2009 12:33:09] /a 1
[21/01/2009 12:33:09] /a 1
[21/01/2009 12:33:09] /a 1
[21/01/2009 12:33:09] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:10] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:11] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:12] /a 1
[21/01/2009 12:33:13] /a 1
[21/01/2009 12:33:13] /a 1
[21/01/2009 12:33:13] /a 1
[21/01/2009 12:33:13] /a 1
[21/01/2009 12:33:13] /a 1
[21/01/2009 12:33:13] /a 1
[21/01/2009 12:33:13] /a 1
[21/01/2009 12:33:13] /a 1
[21/01/2009 12:33:13] /a 1
[21/01/2009 12:33:13] /a 1
[21/01/2009 12:33:13] /a 1
[21/01/2009 12:33:13] /a 1
[21/01/2009 12:33:13] /a 1
[21/01/2009 12:33:13] /a 1
[21/01/2009 12:33:13] /a 1
[21/01/2009 12:33:13] /a 1
[21/01/2009 12:33:14] /a 1
[21/01/2009 12:33:14] /a 1
[21/01/2009 12:33:14] /a 1
[21/01/2009 12:33:15] /a 1
[21/01/2009 12:33:15] /a 1
[21/01/2009 12:33:15] /a 1
[21/01/2009 12:33:15] /a 1
[21/01/2009 12:33:15] /a 1
[21/01/2009 12:33:15] /a 1
[21/01/2009 12:33:16] /a 1
[21/01/2009 12:33:16] /a 1
[21/01/2009 12:33:16] /a 1
[21/01/2009 12:33:16] /a 1
[21/01/2009 12:33:16] /a 1
[21/01/2009 12:33:17] /a 1
[21/01/2009 12:33:17] /a 1
[21/01/2009 12:33:17] /a 1
[21/01/2009 12:33:17] /a 1
[21/01/2009 12:33:18] /a 1
[21/01/2009 12:33:18] /a 1
[21/01/2009 12:33:19] /a 1
[21/01/2009 12:33:19] /a 1
[21/01/2009 12:33:19] /a 1
[21/01/2009 12:33:24] /a 1
[21/01/2009 12:33:24] /a 1
[21/01/2009 12:33:24] /a 1
[21/01/2009 12:33:24] /a 1
[21/01/2009 12:33:24] /a 1
[21/01/2009 12:33:24] /a 1
[21/01/2009 12:33:24] /a 1
[21/01/2009 12:33:24] /a 1
[21/01/2009 12:33:24] /a 1
[21/01/2009 12:33:24] /a 1
[21/01/2009 12:33:24] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:25] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:26] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:27] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:28] /a 1
[21/01/2009 12:33:29] /a 1
[21/01/2009 12:33:29] /a 1
[21/01/2009 12:33:29] /a 1
[21/01/2009 12:33:29] /a 1
[21/01/2009 12:33:29] /a 1
[21/01/2009 12:33:29] /a 1
[21/01/2009 12:33:29] /a 1
[21/01/2009 12:33:29] /a 1
[21/01/2009 12:33:29] /a 1
[21/01/2009 12:33:29] /a 1
[21/01/2009 12:33:29] /a 1
[21/01/2009 12:33:29] /a 1
[21/01/2009 12:33:29] /a 1
[21/01/2009 12:33:29] /a 1
[21/01/2009 12:33:30] /a 1
[21/01/2009 12:33:30] /a 1
[21/01/2009 12:33:30] /a 1
[21/01/2009 12:33:30] /a 1
[21/01/2009 12:33:30] /a 1
[21/01/2009 12:33:30] /a 1
[21/01/2009 12:33:30] /a 1
[21/01/2009 12:33:30] /a 1
[21/01/2009 12:33:30] /a 1
[21/01/2009 12:33:30] /a 1
[21/01/2009 12:33:30] /a 1
[21/01/2009 12:33:30] /a 1
[21/01/2009 12:33:30] /a 1
[21/01/2009 12:33:30] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:31] /a 1
[21/01/2009 12:33:32] /a 1
[21/01/2009 12:33:32] /a 1
[21/01/2009 12:33:32] /a 1
[21/01/2009 12:33:32] /a 1
[21/01/2009 12:33:32] /a 1
[21/01/2009 12:33:32] /a 1
[21/01/2009 12:33:32] /a 1
[21/01/2009 12:33:33] /a 1
[21/01/2009 12:33:33] /a 1
[21/01/2009 12:33:33] /a 1
[21/01/2009 12:33:33] /a 1
[21/01/2009 12:33:33] /a 1
[21/01/2009 12:33:33] /a 1
[21/01/2009 12:33:33] /a 1
[21/01/2009 12:33:33] /a 1
[21/01/2009 12:33:33] /a 1
[21/01/2009 12:33:35] /a 1
[21/01/2009 12:33:35] /a 1
[21/01/2009 12:33:35] /a 1
[21/01/2009 12:33:35] /a 1
[21/01/2009 12:33:35] /a 1
[21/01/2009 12:33:35] /a 1
[21/01/2009 12:33:35] /a 1
[21/01/2009 12:33:35] /a 1
[21/01/2009 12:33:35] /a 1
[21/01/2009 12:33:35] /a 1
[21/01/2009 12:33:35] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:36] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:37] /a 1
[21/01/2009 12:33:38] /a 1
[21/01/2009 12:33:38] /a 1
[21/01/2009 12:33:38] /a 1
[21/01/2009 12:33:38] /a 1
[21/01/2009 12:33:38] /a 1
[21/01/2009 12:33:39] /a 1
[21/01/2009 12:33:39] /a 1
[21/01/2009 12:33:39] /a 1
[21/01/2009 12:33:39] /a 1
[21/01/2009 12:33:39] /a 1
[21/01/2009 12:33:39] /a 1
[21/01/2009 12:33:39] /a 1
[21/01/2009 12:33:39] /a 1
[21/01/2009 12:33:39] /a 1
[21/01/2009 12:33:39] /a 1
[21/01/2009 12:33:39] /a 1
[21/01/2009 12:33:39] /a 1
[21/01/2009 12:33:39] /a 1
[21/01/2009 12:33:39] /a 1
[21/01/2009 12:33:39] /a 1
[21/01/2009 12:33:40] /a 1
[21/01/2009 12:33:40] /a 1
[21/01/2009 12:33:40] /a 1
[21/01/2009 12:33:40] /a 1
[21/01/2009 12:33:40] /a 1
[21/01/2009 12:33:40] /a 1
[21/01/2009 12:33:40] /a 1
[21/01/2009 12:33:40] /a 1
[21/01/2009 12:33:40] /a 1
[21/01/2009 12:33:40] /a 1
[21/01/2009 12:33:40] /a 1
[21/01/2009 12:33:40] /a 1
[21/01/2009 12:33:40] /a 1
[21/01/2009 12:33:41] /a 1
[21/01/2009 12:33:41] /a 1
[21/01/2009 12:33:41] /a 1
[21/01/2009 12:33:41] /a 1
[21/01/2009 12:33:41] /a 1
[21/01/2009 12:33:41] /a 1
[21/01/2009 12:33:41] /a 1
[21/01/2009 12:33:41] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:42] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:43] /a 1
[21/01/2009 12:33:44] /a 1
[21/01/2009 12:33:44] /a 1
[21/01/2009 12:33:44] /a 1
[21/01/2009 12:33:44] /a 1
[21/01/2009 12:33:44] /a 1
[21/01/2009 12:33:44] /a 1
[21/01/2009 12:33:44] /a 1
[21/01/2009 12:33:44] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:45] /a 1
[21/01/2009 12:33:46] /a 1
[21/01/2009 12:33:46] /a 1
[21/01/2009 12:33:46] /a 1
[21/01/2009 12:33:46] /a 1
