[05/07/2009 12:29:33] /a 1
[05/07/2009 12:29:37] /a 1
[05/07/2009 12:29:37] /a 1
[05/07/2009 12:29:37] /a 1
[05/07/2009 12:29:37] /a 1
[05/07/2009 12:29:37] /a 1
[05/07/2009 12:31:09] /b <quando entrar mais 10 players vo faze um evento mais nao vai ser de matar bixo mais sim de achar itens>
[05/07/2009 12:32:02] /a 5
[05/07/2009 12:32:08] /a 20
[05/07/2009 12:32:12] /a 20
[05/07/2009 12:32:32] /a 
[05/07/2009 12:32:38] /a 5
[05/07/2009 12:38:35] /i Demon Legs
[05/07/2009 12:38:35] /i Demon Legs
[05/07/2009 12:38:35] /i Demon Legs
[05/07/2009 12:38:35] /i Demon Legs
[05/07/2009 12:38:35] /i Demon Legs
[05/07/2009 12:38:35] /i Demon Legs
[05/07/2009 12:38:35] /i Demon Legs
[05/07/2009 12:38:36] /i Demon Legs
[05/07/2009 12:38:36] /i Demon Legs
[05/07/2009 12:38:36] /i Demon Legs
[05/07/2009 12:38:36] /i Demon Legs
[05/07/2009 12:38:36] /i Demon Legs
[05/07/2009 12:38:36] /i Demon Legs
[05/07/2009 12:38:36] /i Demon Legs
[05/07/2009 12:38:36] /i Demon Legs
[05/07/2009 12:38:38] /i Demon Legs
[05/07/2009 12:38:38] /i Demon Legs
[05/07/2009 12:38:45] /i Demon Legs
[05/07/2009 12:38:46] /i Demon Legs
[05/07/2009 12:38:46] /i Demon Legs
[05/07/2009 12:38:46] /i Demon Legs
[05/07/2009 12:38:46] /i Demon Legs
[05/07/2009 12:38:46] /i Demon Legs
[05/07/2009 12:38:46] /i Demon Legs
[05/07/2009 12:38:46] /i Demon Legs
[05/07/2009 12:40:12] /i Demon Legs
[05/07/2009 12:40:14] /i Demon Legs
[05/07/2009 12:40:18] /i Demon Legs
[05/07/2009 12:40:21] /i Demon Legs
[05/07/2009 12:40:25] /i Demon Legs
[05/07/2009 12:40:28] /i Demon Legs
[05/07/2009 12:40:30] /i Demon Legs
[05/07/2009 12:40:34] /i Demon Legs
[05/07/2009 12:40:35] /i Demon Legs
[05/07/2009 12:40:46] /i Demon Legs
[05/07/2009 12:40:51] /i Demon Legs
[05/07/2009 12:40:54] /i Demon Legs
[05/07/2009 12:41:10] /i Demon Legs
[05/07/2009 12:41:13] /i Demon Legs
[05/07/2009 12:41:16] /i Demon Legs
[05/07/2009 12:41:20] /i Demon Legs
[05/07/2009 12:41:23] /i Demon Legs
[05/07/2009 12:41:26] /i Demon Legs
[05/07/2009 12:41:29] /i Demon Legs
[05/07/2009 12:41:32] /i Demon Legs
[05/07/2009 12:41:36] /i Demon Helmet
[05/07/2009 12:41:40] /i Demon Helmet
[05/07/2009 12:41:44] /i Demon Helmet
[05/07/2009 12:41:48] /i Demon Helmet
[05/07/2009 12:41:51] /i Demon Helmet
[05/07/2009 12:41:54] /i Demon Helmet
[05/07/2009 12:41:55] /i Demon Helmet
[05/07/2009 12:42:00] /i Demon Helmet
[05/07/2009 12:42:02] /i Demon Helmet
[05/07/2009 12:42:05] /i Demon Helmet
[05/07/2009 12:42:07] /i Demon Helmet
[05/07/2009 12:42:08] /i Demon Helmet
[05/07/2009 12:42:10] /i Demon Helmet
[05/07/2009 12:42:12] /i Demon Helmet
[05/07/2009 12:42:14] /i Demon Helmet
[05/07/2009 12:42:17] /i Demon Helmet
[05/07/2009 12:42:18] /i Demon Helmet
[05/07/2009 12:42:30] /i Demon Helmet
[05/07/2009 12:42:35] /i Demon Helmet
[05/07/2009 12:42:40] /i Demon Helmet
[05/07/2009 12:42:44] /i Demon Helmet
[05/07/2009 12:42:46] /i Demon Helmet
[05/07/2009 12:42:49] /i Demon Helmet
[05/07/2009 12:42:55] /i Demon Helmet
[05/07/2009 12:42:59] /i Demon Helmet
[05/07/2009 12:43:03] /i Demon Helmet
[05/07/2009 12:43:06] /i Demon Helmet
[05/07/2009 12:43:31] /b qm qr evento fala help
[05/07/2009 12:44:41] /i Crystal coins
[05/07/2009 12:45:45] /b Utani Mega Hur Qm Corre
[05/07/2009 12:45:58] /i Crystal coins
[05/07/2009 12:46:06] /i Crystal coin
[05/07/2009 12:46:11] /i Crystal coin
[05/07/2009 12:46:14] /i Crystal coin
[05/07/2009 12:46:19] /i Crystal coin
[05/07/2009 12:46:25] /i Crystal coin
[05/07/2009 12:46:32] /i Crystal coin
[05/07/2009 12:46:34] /i Crystal coin
[05/07/2009 12:46:39] /i Crystal coin
[05/07/2009 12:46:41] /i Crystal coin
[05/07/2009 12:46:49] /i Crystal coin
[05/07/2009 12:46:51] /i Crystal coin
[05/07/2009 12:46:51] /i Crystal coin
[05/07/2009 12:46:51] /i Crystal coin
[05/07/2009 12:46:51] /i Crystal coin
[05/07/2009 12:46:51] /i Crystal coin
[05/07/2009 12:46:51] /i Crystal coin
[05/07/2009 12:46:51] /i Crystal coin
[05/07/2009 12:46:51] /i Crystal coin
[05/07/2009 12:46:51] /i Crystal coin
[05/07/2009 12:46:51] /i Crystal coin
[05/07/2009 12:46:51] /i Crystal coin
[05/07/2009 12:46:51] /i Crystal coin
[05/07/2009 12:46:51] /i Crystal coin
[05/07/2009 12:46:51] /i Crystal coin
[05/07/2009 12:46:51] /i Crystal coin
[05/07/2009 12:46:51] /i Crystal coin
[05/07/2009 12:46:51] /i Crystal coin
[05/07/2009 12:46:53] /i Crystal coin
[05/07/2009 12:46:53] /i Crystal coin
[05/07/2009 12:46:53] /i Crystal coin
[05/07/2009 12:46:53] /i Crystal coin
[05/07/2009 12:46:53] /i Crystal coin
[05/07/2009 12:46:54] /i Crystal coin
[05/07/2009 12:46:54] /i Crystal coin
[05/07/2009 12:46:54] /i Crystal coin
[05/07/2009 12:46:54] /i Crystal coin
[05/07/2009 12:46:54] /i Crystal coin
[05/07/2009 12:46:54] /i Crystal coin
[05/07/2009 12:46:54] /i Crystal coin
[05/07/2009 12:46:54] /i Crystal coin
[05/07/2009 12:46:54] /i Crystal coin
[05/07/2009 12:46:56] /i Crystal coin
[05/07/2009 12:46:56] /i Crystal coin
[05/07/2009 12:46:56] /i Crystal coin
[05/07/2009 12:48:08] /i Firewalker Boots
[05/07/2009 12:48:14] /i Firewalker Boots
[05/07/2009 12:48:18] /i Firewalker Boots
[05/07/2009 12:48:26] /i Firewalker Boots
[05/07/2009 12:48:34] /i Firewalker Boots
[05/07/2009 12:48:37] /i Firewalker Boots
[05/07/2009 12:48:43] /i Firewalker Boots
[05/07/2009 12:48:45] /i Firewalker Boots
[05/07/2009 12:48:49] /i Firewalker Boots
[05/07/2009 12:48:51] /i Firewalker Boots
[05/07/2009 12:48:56] /i Firewalker Boots
[05/07/2009 12:48:58] /i Firewalker Boots
[05/07/2009 12:48:59] /i Firewalker Boots
[05/07/2009 12:49:00] /i Firewalker Boots
[05/07/2009 12:49:02] /i Firewalker Boots
[05/07/2009 12:49:04] /i Firewalker Boots
[05/07/2009 12:49:06] /i Firewalker Boots
[05/07/2009 12:49:08] /i Firewalker Boots
[05/07/2009 12:49:12] /i Firewalker Boots
[05/07/2009 12:49:14] /i Firewalker Boots
[05/07/2009 12:49:18] /i Firewalker Boots
[05/07/2009 12:49:25] /i Firewalker Boots
[05/07/2009 12:49:27] /i Firewalker Boots
[05/07/2009 12:49:29] /i Firewalker Boots
[05/07/2009 12:49:32] /i Firewalker Boots
[05/07/2009 12:49:35] /i Firewalker Boots
[05/07/2009 12:49:37] /i Firewalker Boots
[05/07/2009 12:49:39] /i Firewalker Boots
[05/07/2009 12:49:42] /i Firewalker Boots
[05/07/2009 12:50:03] /i Amulet Of loss
[05/07/2009 12:50:06] /i Amulet Of loss
[05/07/2009 12:50:11] /i Amulet Of loss
[05/07/2009 12:50:16] /i Firewalker Boots
[05/07/2009 12:50:20] /i Amulet Of loss
[05/07/2009 12:50:22] /i Amulet Of loss
[05/07/2009 12:50:24] /i Amulet Of loss
[05/07/2009 12:50:27] /i Amulet Of loss
[05/07/2009 12:50:29] /i Amulet Of loss
[05/07/2009 12:50:30] /i Amulet Of loss
[05/07/2009 12:50:35] /i Amulet Of loss
[05/07/2009 12:50:38] /i Amulet Of loss
[05/07/2009 12:50:41] /i Amulet Of loss
[05/07/2009 12:50:43] /i Amulet Of loss
[05/07/2009 12:50:45] /i Amulet Of loss
[05/07/2009 12:50:48] /i Amulet Of loss
[05/07/2009 12:50:50] /i Amulet Of loss
[05/07/2009 12:50:53] /i Amulet Of loss
[05/07/2009 12:50:55] /i Amulet Of loss
[05/07/2009 12:51:02] /i Amulet Of loss
[05/07/2009 12:51:08] /i Amulet Of loss
[05/07/2009 12:51:10] /i Amulet Of loss
[05/07/2009 12:51:11] /i Amulet Of loss
[05/07/2009 12:51:12] /i Amulet Of loss
[05/07/2009 12:51:14] /i Amulet Of loss
[05/07/2009 12:51:16] /i Amulet Of loss
[05/07/2009 12:51:17] /i Amulet Of loss
[05/07/2009 12:51:19] /i Amulet Of loss
[05/07/2009 12:51:21] /i Amulet Of loss
[05/07/2009 12:51:24] /t
[05/07/2009 12:52:04] /b Gente Vo Embora Daki umas 2hrs volto vo ter q ir almoçar na casa da minha voh bye gente
[05/07/2009 12:52:14] /a 20
[05/07/2009 12:52:44] /ghost
[05/07/2009 14:40:13] /b qm q evento vem aki na frente do templo
[05/07/2009 14:41:08] /goto princesa juh
[05/07/2009 14:41:53] /ghost
[05/07/2009 14:41:56] /ghost
[05/07/2009 14:43:42] /b pessoal nao do itens
[05/07/2009 14:45:16] /t
[05/07/2009 14:45:30] /b evento dps desse qm achar 1kk ganha
[05/07/2009 14:45:46] /b vou esconder soh quando falar ja
[05/07/2009 14:45:51] /ghost
[05/07/2009 14:46:05] /a 5
[05/07/2009 14:46:15] /a 5
[05/07/2009 14:46:18] /a 5
[05/07/2009 14:46:20] /a 5
[05/07/2009 14:46:24] /a 5
[05/07/2009 14:46:28] /i bag
[05/07/2009 14:46:32] /i bag
[05/07/2009 14:46:34] /i bag
[05/07/2009 14:46:34] /i bag
[05/07/2009 14:46:36] /i bag
[05/07/2009 14:46:36] /i bag
[05/07/2009 14:46:36] /i bag
[05/07/2009 14:46:36] /i bag
[05/07/2009 14:46:45] /i bag
[05/07/2009 14:47:01] /i crystal coin
[05/07/2009 14:47:16] /i bag
[05/07/2009 14:47:18] /i bag
[05/07/2009 14:47:18] /i bag
[05/07/2009 14:47:20] /i bag
[05/07/2009 14:47:20] /i bag
[05/07/2009 14:47:21] /i bag
[05/07/2009 14:47:21] /i bag
[05/07/2009 14:47:21] /i bag
[05/07/2009 14:47:23] /i bag
[05/07/2009 14:47:23] /i bag
[05/07/2009 14:47:23] /i bag
[05/07/2009 14:47:24] /i bag
[05/07/2009 14:47:25] /i bag
[05/07/2009 14:47:27] /i bag
[05/07/2009 14:47:27] /i bag
[05/07/2009 14:47:27] /i bag
[05/07/2009 14:47:31] /i bag
[05/07/2009 14:48:17] /b ja escondi 1KK :DICA PERTO DO TEMPLO 
[05/07/2009 14:50:30] /b dica ta dentro de uma bag
[05/07/2009 14:50:46] /b parabens o seu madruga ganhou
[05/07/2009 14:50:58] /ghost
[05/07/2009 14:51:46] /b AFK POR 5MIN
[05/07/2009 14:53:32] /b AFK
[05/07/2009 14:54:32] /a 10
[05/07/2009 14:54:35] /a 10
[05/07/2009 14:54:38] /a 10
[05/07/2009 14:54:40] /a 10
[05/07/2009 14:54:43] /a 10
[05/07/2009 14:55:07] /a 10
[05/07/2009 14:55:09] /a 10
[05/07/2009 14:55:11] /a 10
[05/07/2009 14:55:14] /a 10
[05/07/2009 14:55:15] /a 10
[05/07/2009 14:55:17] /a 10
[05/07/2009 14:55:19] /a 10
[05/07/2009 14:55:23] /a 10
[05/07/2009 14:55:30] /a 5
[05/07/2009 14:55:32] /a 5
[05/07/2009 14:55:52] /a 5
[05/07/2009 14:55:54] /a 5
[05/07/2009 14:55:54] /a 5
[05/07/2009 14:55:55] /a 5
[05/07/2009 14:55:56] /a 5
[05/07/2009 14:56:02] /a 5
[05/07/2009 14:56:05] /a 5
[05/07/2009 14:56:05] /a 5
[05/07/2009 14:56:05] /a 5
[05/07/2009 14:56:08] /a 5
[05/07/2009 14:56:10] /a 5
[05/07/2009 14:56:13] /a 5
[05/07/2009 14:56:16] /a 5
[05/07/2009 14:56:17] /a 5
[05/07/2009 14:56:18] /a 5
[05/07/2009 14:56:18] /a 5
[05/07/2009 14:56:19] /a 5
[05/07/2009 14:56:19] /a 5
[05/07/2009 14:56:20] /a 5
[05/07/2009 14:56:21] /a 5
[05/07/2009 14:56:31] /a 5
[05/07/2009 14:58:40] /i 7778
[05/07/2009 14:58:50] /r
[05/07/2009 14:58:54] /r
[05/07/2009 14:58:57] /r
[05/07/2009 14:59:05] /r
[05/07/2009 14:59:12] /r
[05/07/2009 14:59:16] /r
[05/07/2009 14:59:18] /r
[05/07/2009 14:59:28] /a 1
[05/07/2009 14:59:36] /i 407
[05/07/2009 15:00:29] /a 5
[05/07/2009 15:00:31] /a 5
[05/07/2009 15:00:33] /a 5
[05/07/2009 15:00:36] /a 5
[05/07/2009 15:00:36] /a 5
[05/07/2009 15:00:36] /a 5
[05/07/2009 15:00:43] /a 5
[05/07/2009 15:00:46] /a 5
[05/07/2009 15:00:49] /a 5
[05/07/2009 15:00:52] /a 5
[05/07/2009 15:00:55] /a 5
[05/07/2009 15:00:56] /a 5
[05/07/2009 15:00:58] /a 5
[05/07/2009 15:01:00] /a 5
[05/07/2009 15:01:16] /a 5
[05/07/2009 15:01:18] /a 5
[05/07/2009 15:01:21] /a 5
[05/07/2009 15:01:27] /i Firewalker Boots
[05/07/2009 15:02:37] /i 5915
[05/07/2009 15:02:46] /i 5915
[05/07/2009 15:02:54] /i 5915
[05/07/2009 15:02:59] /save
[05/07/2009 15:03:14] /t
[05/07/2009 15:03:42] /a 20
[05/07/2009 15:04:14] /goto pits of inferno
[05/07/2009 15:04:19] /goto pits of inferno
[05/07/2009 15:04:34] /goto POI
[05/07/2009 15:04:53] /goto juggernaut
[05/07/2009 15:05:23] /goto orshaball
[05/07/2009 15:05:30] /goto bazir
[05/07/2009 15:06:07] /t
[05/07/2009 15:06:11] /b AFK
[05/07/2009 15:08:14] /town
[05/07/2009 15:08:25] /mc
[05/07/2009 15:43:07] /a 5
[05/07/2009 15:43:28] /b QM QR EVENTO FALA HELP
[05/07/2009 15:43:55] /b QM QUIER VEM EM FRENTE DO TEMPLO
[05/07/2009 15:46:52] /b AEW VO ESCONDE UM DEMON ARMOR LA PRA AREA DE CAÇA
[05/07/2009 15:47:04] /ghost
[05/07/2009 15:47:48] /i red backpack
[05/07/2009 15:48:16] /i green backpack
[05/07/2009 15:48:55] /b qm acha uma bp com demona armor dentro ganha
[05/07/2009 15:49:10] /b dica ta naarea de caça indo pros hero
[05/07/2009 15:51:00] /b pista ta la nos goblin indo pra gs
[05/07/2009 15:51:03] /t
[05/07/2009 15:51:12] /ghost
[05/07/2009 15:51:23] /b pista ta la nos goblin indo pra gs
[05/07/2009 15:51:41] /a 30
[05/07/2009 15:51:45] /a 30
[05/07/2009 15:52:18] /b o luizinho achou
[05/07/2009 15:53:11] /b OUTRO EVENTO QM CONSEGUIR MATAR O BAZIR LA NA ARENA GANHA O Q TEM DENTRO
[05/07/2009 15:53:25] /t
[05/07/2009 15:53:44] /c Magnu Druid
[05/07/2009 15:53:54] /c Joaozytows
[05/07/2009 15:55:51] /a 10
[05/07/2009 15:55:56] /a 10
[05/07/2009 15:56:00] /a 10
[05/07/2009 15:56:06] /a 10
[05/07/2009 15:56:49] /b tem algum denner santos silva aki no ot se tiver fala help
[05/07/2009 15:56:58] /a 10
[05/07/2009 15:57:03] /a 10
[05/07/2009 15:57:15] /a 5
[05/07/2009 15:57:50] /a 5
[05/07/2009 15:58:53] /ghost
[05/07/2009 16:00:12] /ghost
[05/07/2009 16:00:21] /a 5
[05/07/2009 16:00:26] /a 5
[05/07/2009 16:00:41] /a 5
[05/07/2009 16:00:41] /a 5
[05/07/2009 16:01:00] /t
[05/07/2009 16:01:23] /up
[05/07/2009 16:01:52] /c princesa juh
[05/07/2009 16:06:18] /i 2148
[05/07/2009 16:06:27] /i 2149
[05/07/2009 16:06:54] /i 2150
[05/07/2009 16:07:42] /up
[05/07/2009 16:07:50] /down
[05/07/2009 16:07:59] /t
[05/07/2009 16:08:10] /c princesa juh
[05/07/2009 16:08:37] /a 20
[05/07/2009 16:08:56] /a 20
[05/07/2009 16:09:00] /a 20
[05/07/2009 16:09:06] /a 20
[05/07/2009 16:09:13] /a 6
[05/07/2009 16:09:18] /a 
[05/07/2009 16:09:34] /i Firewalker Boots
[05/07/2009 16:10:04] /i Firewalker Boots
[05/07/2009 16:10:09] /i Firewalker Boots
[05/07/2009 16:10:15] /i Firewalker Boots
[05/07/2009 16:10:21] /i Firewalker Boots
[05/07/2009 16:10:27] /i Firewalker Boots
[05/07/2009 16:10:31] /i Firewalker Boots
[05/07/2009 16:10:36] /i Firewalker Boots
[05/07/2009 16:10:40] /i Firewalker Boots
[05/07/2009 16:10:42] /i Firewalker Boots
[05/07/2009 16:10:46] /i Firewalker Boots
[05/07/2009 16:10:54] /i Firewalker Boots
[05/07/2009 16:11:00] /i Firewalker Boots
[05/07/2009 16:11:02] /i Firewalker Boots
[05/07/2009 16:11:11] /i Firewalker Boots
[05/07/2009 16:11:48] /i Firewalker Boots
[05/07/2009 16:11:50] /i Firewalker Boots
[05/07/2009 16:11:53] /i Firewalker Boots
[05/07/2009 16:12:00] /i Firewalker Boots
[05/07/2009 16:12:12] /i Firewalker Boots
[05/07/2009 16:12:16] /i Firewalker Boots
[05/07/2009 16:12:20] /i Firewalker Boots
[05/07/2009 16:12:27] /i Firewalker Boots
[05/07/2009 16:12:31] /i Firewalker Boots
[05/07/2009 16:12:38] /i Firewalker Boots
[05/07/2009 16:12:42] /i Firewalker Boots
[05/07/2009 16:12:53] /i Firewalker Boots
[05/07/2009 16:12:55] /i Firewalker Boots
[05/07/2009 16:13:26] /i Demon backpack
[05/07/2009 16:13:35] /i Demon backpack
[05/07/2009 16:13:51] /i 10025
[05/07/2009 16:13:58] /i 10025
[05/07/2009 16:14:00] /i 10025
[05/07/2009 16:14:00] /i 10025
[05/07/2009 16:14:01] /i 10025
[05/07/2009 16:14:22] /i 10025
[05/07/2009 16:14:23] /i 10025
[05/07/2009 16:14:23] /i 10025
[05/07/2009 16:14:24] /i 10025
[05/07/2009 16:14:25] /i 10025
[05/07/2009 16:14:25] /i 10025
[05/07/2009 16:14:26] /i 10025
[05/07/2009 16:14:26] /i 10025
[05/07/2009 16:15:07] /i 10025
[05/07/2009 16:15:09] /i 10025
[05/07/2009 16:15:09] /i 10025
[05/07/2009 16:15:09] /i 10025
[05/07/2009 16:15:09] /i 10025
[05/07/2009 16:15:10] /i 10025
[05/07/2009 16:15:10] /i 10025
[05/07/2009 16:15:10] /i 10025
[05/07/2009 16:15:11] /i 10025
[05/07/2009 16:15:11] /i 10025
[05/07/2009 16:15:11] /i 10025
[05/07/2009 16:15:12] /i 10025
[05/07/2009 16:15:12] /i 10025
[05/07/2009 16:16:15] /r
[05/07/2009 16:16:18] /r
[05/07/2009 16:16:22] /r
[05/07/2009 16:16:24] /r
[05/07/2009 16:16:27] /r
[05/07/2009 16:16:31] /r
[05/07/2009 16:16:35] /r
[05/07/2009 16:16:36] /r
[05/07/2009 16:16:43] /r
[05/07/2009 16:16:45] /r
[05/07/2009 16:16:48] /r
[05/07/2009 16:16:52] /r
[05/07/2009 16:17:00] /r
[05/07/2009 16:17:03] /r
[05/07/2009 16:17:08] /r
[05/07/2009 16:17:10] /r
[05/07/2009 16:17:14] /r
[05/07/2009 16:17:16] /r
[05/07/2009 16:17:22] /r
[05/07/2009 16:17:24] /r
[05/07/2009 16:17:28] /r
[05/07/2009 16:17:30] /r
[05/07/2009 16:17:41] /r
[05/07/2009 16:17:47] /r
[05/07/2009 16:17:52] /r
[05/07/2009 16:17:59] /r
[05/07/2009 16:17:59] /r
[05/07/2009 16:18:09] /r
[05/07/2009 16:18:21] /r
[05/07/2009 16:18:26] /r
[05/07/2009 16:18:26] /r
[05/07/2009 16:18:36] /r
[05/07/2009 16:18:42] /r
[05/07/2009 16:18:43] /r
[05/07/2009 16:18:56] /r
[05/07/2009 16:18:56] /r
[05/07/2009 16:19:08] /r
[05/07/2009 16:19:08] /r
[05/07/2009 16:19:24] /i Blessed Shield
[05/07/2009 16:19:28] /i Blessed Shield
[05/07/2009 16:19:35] /i Blessed Shield
[05/07/2009 16:19:39] /i Blessed Shield
[05/07/2009 16:19:42] /i Blessed Shield
[05/07/2009 16:19:45] /i Blessed Shield
[05/07/2009 16:19:47] /i Blessed Shield
[05/07/2009 16:19:52] /i Blessed Shield
[05/07/2009 16:19:57] /i Blessed Shield
[05/07/2009 16:20:01] /i Blessed Shield
[05/07/2009 16:20:09] /i Blessed Shield
[05/07/2009 16:20:12] /i Blessed Shield
[05/07/2009 16:20:16] /i Blessed Shield
[05/07/2009 16:20:20] /i Blessed Shield
[05/07/2009 16:20:24] /i Blessed Shield
[05/07/2009 16:20:28] /i Blessed Shield
[05/07/2009 16:20:32] /i Blessed Shield
[05/07/2009 16:20:36] /i Blessed Shield
[05/07/2009 16:20:40] /i Blessed Shield
[05/07/2009 16:20:43] /i Blessed Shield
[05/07/2009 16:21:14] /i Crystal Coin
[05/07/2009 16:21:18] /i Crystal Coin
[05/07/2009 16:21:21] /i Crystal Coin
[05/07/2009 16:21:23] /i Crystal Coin
[05/07/2009 16:21:26] /i Crystal Coin
[05/07/2009 16:21:29] /i Crystal Coin
[05/07/2009 16:21:33] /i Crystal Coin
[05/07/2009 16:21:36] /i Crystal Coin
[05/07/2009 16:21:40] /i Crystal Coin
[05/07/2009 16:21:45] /i Crystal Coin
[05/07/2009 16:21:47] /i Crystal Coin
[05/07/2009 16:21:52] /i Crystal Coin
[05/07/2009 16:21:55] /i Crystal Coin
[05/07/2009 16:22:04] /i Crystal Coin
[05/07/2009 16:22:09] /i Crystal Coin
[05/07/2009 16:22:12] /i Crystal Coin
[05/07/2009 16:23:08] /i Soft Boots
[05/07/2009 16:23:15] /i Soft Boots
[05/07/2009 16:23:41] /i Soft Boots
[05/07/2009 16:23:52] /i Soft Boots
[05/07/2009 16:23:55] /i Soft Boots
[05/07/2009 16:23:59] /i Soft Boots
[05/07/2009 16:24:02] /i Soft Boots
[05/07/2009 16:24:07] /i Soft Boots
[05/07/2009 16:24:11] /i Soft Boots
[05/07/2009 16:24:16] /i Soft Boots
[05/07/2009 16:24:19] /i Soft Boots
[05/07/2009 16:24:22] /i Soft Boots
[05/07/2009 16:24:25] /i Soft Boots
[05/07/2009 16:24:28] /i Soft Boots
[05/07/2009 16:24:32] /i Soft Boots
[05/07/2009 16:24:36] /i Soft Boots
[05/07/2009 16:25:33] /i Great Shield
[05/07/2009 16:25:37] /i Great Shield
[05/07/2009 16:25:47] /i Great Shield
[05/07/2009 16:25:50] /i Great Shield
[05/07/2009 16:25:54] /i Great Shield
[05/07/2009 16:25:56] /i Great Shield
[05/07/2009 16:25:58] /i Great Shield
[05/07/2009 16:26:01] /i Great Shield
[05/07/2009 16:26:14] /i Crocodile Boots
[05/07/2009 16:26:22] /i Crystal Coin
[05/07/2009 16:26:24] /i Crystal Coin
[05/07/2009 16:26:27] /i Crystal Coin
[05/07/2009 16:26:30] /i Crystal Coin
[05/07/2009 16:26:35] /i Crystal Coin
[05/07/2009 16:26:40] /i Crystal Coin
[05/07/2009 16:26:44] /i Crystal Coin
[05/07/2009 16:26:54] /i Crystal Coin
[05/07/2009 16:27:01] /i Crystal Coin
[05/07/2009 16:27:05] /i Crystal Coin
[05/07/2009 16:27:08] /i Crystal Coin
[05/07/2009 16:27:50] /i Crocodile Boots
[05/07/2009 16:27:55] /i Crocodile Boots
[05/07/2009 16:28:02] /i Crocodile Boots
[05/07/2009 16:28:06] /i Crocodile Boots
[05/07/2009 16:28:13] /i Crocodile Boots
[05/07/2009 16:28:19] /i Crocodile Boots
[05/07/2009 16:28:28] /i Crocodile Boots
[05/07/2009 16:29:15] /i Golden Boots
[05/07/2009 16:29:26] /i Crystal Coin
[05/07/2009 16:29:47] /i Blessed Shield
[05/07/2009 16:29:53] /i Blessed Shield
